"Log ID",Date,Description,"Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count",Pace,"Avg Watts",Cal/Hour,"Total Cal","Avg Heart Rate","Drag Factor",Age,Weight,Type,Ranked,Comments,"Date Entered"
98314457,"2025-02-17 02:57:00","10:00 row",10:00.0,600,,,2054,,32,320,2:26.0,112,686,112,,133,38,Hwt,RowErg,No,,"2025-02-16 16:57:36"
98280445,"2025-02-16 02:57:00","10:00 row",10:00.0,600,,,2011,,33,335,2:29.1,105,662,109,,234,38,Hwt,RowErg,No,,"2025-02-15 16:58:25"
98261780,"2025-02-15 19:00:00","10:00 row",10:00.0,600,,,2202,,33,337,2:16.2,138,776,127,,137,38,Hwt,RowErg,No,,"2025-02-15 09:01:08"
98242225,"2025-02-15 03:24:00","10:00 row",10:00.0,600,,,1948,,32,322,2:34.0,96,629,102,,202,38,Hwt,RowErg,No,,"2025-02-14 17:24:36"
98180287,"2025-02-13 22:06:00","5:00 row",5:00.0,300,,,1011,,34,172,2:28.3,107,668,53,,145,38,Hwt,RowErg,No,,"2025-02-13 12:06:57"
98103357,"2025-02-12 05:06:00","1:00:00 row",1:00:00.0,3600,,,11017,,29,1787,2:43.3,80,576,576,,103,38,Hwt,RowErg,Yes,,"2025-02-11 19:06:46"
98076734,"2025-02-11 20:24:00","10:00 row",10:00.0,600,,,2179,,34,340,2:17.6,134,761,124,,171,38,Hwt,RowErg,No,,"2025-02-11 10:24:27"
98021910,"2025-02-10 18:33:00","10:00 row",10:00.0,600,,,2137,,31,319,2:20.3,127,735,121,,137,38,Hwt,RowErg,No,,"2025-02-10 08:33:47"
97969877,"2025-02-09 06:10:00","1:00:00 row",1:00:00.0,3600,,,10763,,31,1916,2:47.2,75,557,557,,255,38,Hwt,RowErg,No,"First hour","2025-02-08 20:10:44"
97948258,"2025-02-08 21:15:00","10:00 row",10:00.0,600,,,2149,,32,322,2:19.5,129,742,121,,138,38,Hwt,RowErg,No,,"2025-02-08 11:17:22"
97948257,"2025-02-07 00:23:00","1000m row",5:02.7,302.7,,,1000,,37,192,2:31.3,101,647,52,,230,38,Hwt,RowErg,No,,"2025-02-08 11:17:22"
97820933,"2025-02-06 00:33:00","1000m row",16:21.5,981.5,,,1000,,21,160,8:10.7,3,310,53,,150,38,Hwt,RowErg,No,,"2025-02-05 14:34:05"
97819980,"2025-02-06 00:10:00","1000m row",5:20.7,320.7,,,1000,,30,163,2:40.3,85,592,52,,147,38,Hwt,RowErg,No,,"2025-02-05 14:11:43"
97748548,"2025-02-04 11:25:00","1000m row",4:45.5,285.5,,,1000,,34,163,2:22.7,120,714,55,,115,38,Hwt,RowErg,No,,"2025-02-04 01:25:28"
97676140,"2025-02-02 23:52:00","5:00 row",5:00.0,300,,,984,,34,170,2:32.4,99,640,52,,116,38,Hwt,RowErg,No,,"2025-02-02 13:52:37"
97675856,"2025-02-02 23:44:00","10:00 row",10:00.0,600,,,1938,,32,326,2:34.7,94,624,102,,115,38,Hwt,RowErg,No,,"2025-02-02 13:44:52"
97675342,"2025-02-02 23:30:00","45:00 row",45:00.0,2700,,,8334,,32,1474,2:41.9,82,583,436,,116,38,Hwt,RowErg,No,,"2025-02-02 13:31:10"
97626124,"2025-02-01 17:45:00","20:00 row",20:00.0,1200,,,4112,,31,636,2:25.9,113,687,227,,147,38,Hwt,RowErg,No,,"2025-02-01 07:46:04"
97529672,"2025-01-30 19:30:00","30:00 row",30:00.0,1800,,,6018,,32,968,2:29.5,105,660,329,,146,38,Hwt,RowErg,No,,"2025-01-30 09:31:23"
97421982,"2025-01-28 21:18:00","20:00 row",20:00.0,1200,,,3767,,30,616,2:39.2,87,598,197,,123,38,Hwt,RowErg,No,,"2025-01-28 11:18:57"
97358496,"2025-01-27 17:41:00","20:00 row",20:00.0,1200,,,4094,,32,655,2:26.5,111,682,223,,163,38,Hwt,RowErg,No,,"2025-01-27 07:41:33"
97265594,"2025-01-25 15:24:00","20:00 row",20:00.0,1200,,,4054,,31,623,2:28.0,108,671,222,,146,38,Hwt,RowErg,No,,"2025-01-25 05:24:41"
97168974,"2025-01-23 19:29:00","20:00 row",20:00.0,1200,,,3750,,30,611,2:40.0,85,594,197,,124,38,Hwt,RowErg,No,,"2025-01-23 09:29:59"
97045364,"2025-01-21 11:11:00","20:00 row",20:00.0,1200,,,3574,,29,592,2:47.8,74,554,183,,203,38,Hwt,RowErg,No,,"2025-01-21 01:11:52"
96949532,"2025-01-19 18:45:00","15:00 row",15:00.0,900,,,2675,,30,453,2:48.2,74,553,136,,124,38,Hwt,RowErg,No,,"2025-01-19 08:45:52"
96949078,"2025-01-19 18:24:00","30:00 row",30:00.0,1800,,,5589,,30,924,2:41.0,84,588,292,,128,38,Hwt,RowErg,No,"First 30min","2025-01-19 08:25:10"
96898505,"2025-01-18 12:38:00","20:00 row",20:00.0,1200,,,3834,,32,638,2:36.4,91,614,202,,145,38,Hwt,RowErg,No,,"2025-01-18 02:38:44"
96858830,"2025-01-17 20:16:00","2000m row",9:51.1,591.1,,,2000,,32,319,2:27.7,108,673,110,,147,38,Hwt,RowErg,No,,"2025-01-17 10:17:04"
96525089,"2025-01-11 21:01:00","1000m row",6:11.6,371.6,,,1000,,29,180,3:05.8,55,487,50,,147,38,Hwt,RowErg,No,,"2025-01-11 11:02:20"
96442033,"2025-01-10 04:18:00","1000m SkiErg",5:32.5,332.5,,,1000,,33,184,2:46.2,76,562,50,,80,38,,SkiErg,No,,"2025-01-09 18:19:41"
96392425,"2025-01-09 05:36:00","5000m row",26:25.3,1585.3,,,5000,,30,803,2:38.5,88,602,263,,149,38,Hwt,RowErg,No,,"2025-01-08 19:37:43"
96326142,"2025-01-08 04:07:00","10:00 row",10:00.0,600,,,1848,,29,299,2:42.3,82,581,95,,158,38,Hwt,RowErg,No,,"2025-01-07 18:09:07"
96271260,"2025-01-07 05:00:00","1000m SkiErg",5:28.4,328.4,,,1000,,37,202,2:44.2,79,572,51,,93,38,,SkiErg,No,,"2025-01-06 19:01:02"
96170757,"2025-01-05 04:50:00","20:00 row",20:00.0,1200,,,3218,,27,551,3:06.4,54,485,159,,148,38,Hwt,RowErg,No,,"2025-01-04 18:51:24"
96169446,"2025-01-05 04:24:00","1000m SkiErg",6:11.0,371,,,1000,,32,198,3:05.5,55,488,50,,145,38,,SkiErg,No,,"2025-01-04 18:25:33"
96117773,"2025-01-04 04:04:00","3:00 SkiErg",3:00.0,180,,,512,,40,120,2:55.7,64,521,25,,81,38,,SkiErg,No,,"2025-01-03 18:17:00"
96064427,"2025-01-03 04:16:00","10:00 row",10:00.0,600,,,1982,,37,377,2:31.3,101,647,107,,255,38,Hwt,RowErg,No,,"2025-01-02 18:17:16"
95999715,"2025-01-01 22:24:00","5000m row",26:27.3,1587.3,,,5000,,29,788,2:38.7,88,601,263,,152,38,Hwt,RowErg,No,,"2025-01-01 12:25:13"
95907053,"2024-12-30 04:52:00","10:51 row",10:51.6,651.6,,,2017,,33,526,2:41.5,83,585,104,,206,38,Hwt,RowErg,No,,"2024-12-29 18:53:21"
95889498,"2024-12-29 20:21:00","10:48 row",10:48.8,648.8,,,2016,,30,476,2:40.9,84,589,105,,243,38,Hwt,RowErg,No,,"2024-12-29 10:22:25"
95839154,"2024-12-28 04:32:00","5000m row",27:01.2,1621.2,,,5000,,28,779,2:42.1,82,582,265,,143,38,Hwt,RowErg,No,"First time","2024-12-27 18:33:08"
